iter	Passed	Remaining
199	1404	5619
200	1410	5606
201	1416	5595
202	1422	5584
203	1428	5572
204	1434	5561
205	1440	5550
206	1446	5540
207	1452	5529
208	1458	5518
209	1463	5507
210	1469	5496
211	1476	5486
212	1482	5476
213	1488	5465
214	1493	5454
215	1500	5445
216	1505	5434
217	1511	5422
218	1517	5412
219	1523	5402
220	1531	5397
221	1537	5387
222	1542	5375
223	1548	5365
224	1554	5355
225	1560	5345
226	1566	5335
227	1572	5324
228	1578	5314
229	1584	5304
230	1590	5294
231	1596	5284
232	1602	5275
233	1608	5265
234	1614	5254
235	1620	5246
236	1626	5237
237	1632	5227
238	1638	5218
239	1645	5209
240	1651	5199
241	1657	5191
242	1663	5182
243	1670	5175
244	1676	5166
245	1682	5157
246	1689	5149
247	1694	5139
248	1700	5128
249	1706	5118
250	1712	5110
251	1718	5100
252	1724	5091
253	1730	5081
254	1736	5072
255	1742	5062
256	1747	5053
257	1753	5044
258	1760	5035
259	1765	5025
260	1772	5017
261	1777	5007
262	1783	4998
263	1789	4989
264	1795	4980
265	1801	4971
266	1807	4962
267	1813	4954
268	1819	4944
269	1825	4935
270	1831	4926
271	1837	4917
272	1843	4908
273	1849	4899
274	1855	4891
275	1861	4882
276	1867	4873
277	1873	4864
278	1879	4856
279	1885	4847
280	1891	4839
281	1897	4830
282	1903	4822
283	1909	4812
284	1915	4805
285	1921	4797
286	1927	4788
287	1933	4780
288	1940	4773
289	1946	4766
290	1952	4758
291	1959	4750
292	1964	4740
293	1970	4732
294	1976	4724
295	1982	4715
296	1988	4707
297	1994	4699
298	2000	4690
299	2006	4682
300	2012	4674
301	2018	4666
302	2024	4657
303	2030	4648
304	2036	4641
305	2042	4632
306	2048	4624
307	2055	4618
308	2062	4611
309	2067	4601
310	2072	4592
311	2078	4583
312	2085	4577
313	2091	4569
314	2097	4561
315	2103	4553
316	2109	4544
317	2114	4535
318	2120	4527
319	2126	4519
320	2132	4510
321	2138	4503
322	2144	4495
323	2150	4487
324	2156	4479
325	2162	4471
326	2168	4463
327	2175	4456
328	2181	4448
329	2187	4440
330	2193	4433
331	2199	4424
332	2205	4417
333	2211	4410
334	2217	4402
335	2223	4394
336	2229	4386
337	2235	4379
338	2242	4371
339	2248	4364
340	2254	4356
341	2260	4348
342	2266	4341
343	2272	4332
344	2277	4324
345	2283	4316
346	2289	4308
347	2295	4301
348	2301	4292
349	2307	4285
350	2313	4276
351	2319	4269
352	2325	4261
353	2331	4254
354	2337	4246
355	2343	4239
356	2350	4232
357	2355	4224
358	2362	4217
359	2367	4209
360	2373	4201
361	2380	4195
362	2387	4190
363	2394	4183
364	2401	4177
365	2408	4172
366	2414	4165
367	2422	4159
368	2429	4154
369	2436	4148
370	2443	4142
371	2450	4136
372	2457	4130
373	2464	4125
374	2471	4118
375	2477	4112
376	2484	4106
377	2490	4098
378	2496	4091
379	2502	4083
380	2508	4075
381	2514	4068
382	2520	4060
383	2526	4053
384	2532	4045
385	2538	4037
386	2544	4030
387	2552	4026
388	2561	4022
389	2569	4018
390	2577	4014
391	2586	4012
392	2593	4005
393	2600	4000
394	2608	3994
395	2617	3992
396	2625	3988
397	2632	3982
398	2640	3977
399	2648	3972
400	2654	3965
401	2661	3958
402	2668	3952
403	2674	3945
404	2680	3937
405	2686	3930
406	2692	3922
407	2699	3916
408	2704	3908
409	2711	3901
410	2717	3893
411	2722	3886
412	2728	3878
413	2737	3874
414	2743	3867
